Region,LineCode,Description,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
USA,100,"      Forestry, fishing, and related activities",927100,894100,851400,801500,831700,775300,802500,820400,817500,840600,857200,845400,855400,860600,886400,911100,944000,918900,916300
USA,200,"      Mining, quarrying, and oil and gas extraction",829000,787200,757000,808400,748000,800200,779400,833600,930200,1012300,1212200,1127600,1268000,1244000,1551200,1606000,1597500,1553300,1416500
USA,300,      Utilities,625900,622000,621800,615800,599600,583200,575400,569900,570700,580600,597300,589800,582200,575500,577600,578300,580600,597400,605300
USA,400,      Construction,8888800,9245300,9540300,9816700,9678800,9920300,10367600,11004800,11460900,11462000,10847800,9529900,8793700,8774800,8944800,9251800,9584300,9860900,10096300
USA,500,      Manufacturing,18108900,17846900,17750600,16921600,15753700,14982000,14800900,14733200,14685200,14471800,13980300,12489200,12102900,12385700,12605200,12760200,12908600,13076600,13103700
USA,600,      Wholesale trade,6068700,6147000,6270700,6233400,6101800,6066500,6188500,6340500,6489800,6584600,6529600,6149300,6024000,6160300,6243500,6345100,6723600,6821100,6935800
USA,700,      Retail trade,18082700,18095800,18455400,18257800,18194100,18234100,18385500,18697800,18845800,19023300,18609900,17889700,17591600,17954300,18085800,18383100,18729100,19108300,19390100
USA,800,      Transportation and warehousing,5245500,5264300,5466100,5480000,5359300,5316500,5427800,5615300,5761900,5949900,5845600,5567200,5474200,5684800,5872400,6020800,6291400,6939700,7169400
USA,900,      Information,3639500,3751700,4031300,4047800,3715200,3590400,3553100,3562700,3546500,3556900,3513400,3312300,3222600,3230000,3224700,3264600,3327000,3317400,3357900
USA,1000,      Finance and insurance,7666000,7721900,7833600,7800600,7868300,7948500,8027000,8204300,8366800,8795600,9115200,9472800,9202400,9751500,9702300,9816300,9622000,9845600,9871600
USA,1100,      Real estate and rental and leasing,5257200,4989300,5446600,5548400,5677000,6011500,6515300,7118100,7465500,7768500,7703200,7533200,7697000,7936300,7859200,8060800,8409800,8670300,8983500
USA,1200,"      Professional, scientific, and technical services",8985000,9620000,10023600,10271800,10160200,10266300,10688900,10933100,11331800,11938100,12144900,11760800,11755800,11970100,12211200,12549300,12872700,13338200,13712200
USA,1300,      Management of companies and enterprises,1756400,1790800,1801700,1789300,1810000,1773500,1801400,1860200,1915700,1960600,2075200,2024300,2019400,2080600,2180200,2265000,2360300,2425500,2499300
USA,1400,      Administrative and support and waste management and remediation services,8828200,9453000,9903100,9603500,9617300,9757400,10182000,10415500,10805500,11077500,10778900,10120000,10402200,10753600,11035400,11371900,11724200,11775600,11877800
USA,1500,      Educational services,2595400,2722900,2825800,3011300,3186600,3287800,3413300,3525800,3668500,3738800,3844300,3972200,4089900,4122600,4198200,4329100,4498100,4611900,4716600
USA,1600,      Health care and social assistance,14219000,14656800,15026200,15253400,15719000,16187100,16504600,16839300,17360900,18014300,18460900,18771700,19089900,19417200,20112500,20514200,20815400,21366100,21944300
USA,1700,"      Arts, entertainment, and recreation",2827200,3041500,3199200,3165100,3265200,3289800,3388700,3461300,3548400,3710100,3798800,3754100,3788400,3873300,3980900,4045800,4225300,4221100,4323300
USA,1800,      Accommodation and food services,10043000,10341700,10574500,10806200,10926200,11157700,11438800,11694100,12003200,12267000,12331100,11991500,11986300,12343400,12670500,13105200,13556900,13985700,14415800
USA,1900,      Other services (except public administration),8616700,8948100,8937900,9075600,9445100,9550400,9736000,9833500,9962800,10215200,10161100,10017700,9780800,10232100,10414700,10529500,10883000,11189200,11388700
USA,2000,    Government and government enterprises,22142000,22441000,22937000,23151000,23600000,23690000,23741000,23839000,24007000,24254000,24605000,24692000,24672000,24289000,24102000,24054000,24056000,24151000,24300000
